Record ID,Record Type,Record Nature,Redirect,Name,Description,Classification System,Classification Code,Last Name,First Name,Name Suffix,Name Preferred,Attributes,Linked Data,Related Citations Count,Staff Notes,Record History,Created Date,Modified Date,Creator,Modifier
CBA000120596,Institution,Delete (RecordStatusExplanation ),CBA000119765,,,Proper name,,,,,,,,0,,"Changed Inactive to Redirect in RecordStatus (2016.05.31). RedirectTo field update to ""CBA000119765"" on 6/7/2015 11:11:41 PM"" by spw as part of the following update work: Add redirect based on OpenRefine work on Schools..
RecordStatus field update to ""Redirect"" on 6/7/2015 11:11:41 PM"" by spw as part of the following update work: Add redirect based on OpenRefine work on Schools..
RecordStatus field update to ""DELETE"" on 6/5/2015 11:14:40 PM"" by spw as part of the following update work: .

This record was changed as part of bulk change #4120. ""CBA Status"" was changed from ""Redirect"" to ""Duplicate"" by StephenPWeldon on 12/31/20 06:09:19 PM UTC.

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 20:56:26.240755+00:00,,  (IsisAdmin-SPW)
CBA000140951,Person,Delete (RecordStatusExplanation ),,,,,,,,,,,,0,,"RecordStatus field update to ""DELETE"" on 6/5/2015 11:14:40 PM"" by spw as part of the following update work: .

This record was changed as part of bulk change #4120. ""CBA Status"" was changed from ""None"" to ""Duplicate"" by StephenPWeldon on 12/31/20 06:09:19 PM UTC.

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 20:56:25.544712+00:00,,  (IsisAdmin-SPW)
CBA000120487,Geographic Term,Delete (RecordStatusExplanation ),,,,,,,,,,,,1,,"RecordStatus field update to ""DELETE"" on 6/5/2015 11:14:40 PM"" by spw as part of the following update work: .

This record was changed as part of bulk change #4120. ""CBA Status"" was changed from ""None"" to ""Duplicate"" by StephenPWeldon on 12/31/20 06:09:19 PM UTC.

This record was changed as part of bulk change #8104. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 05/18/24 03:54:25 PM UTC.

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 20:56:24.694992+00:00,,  (IsisAdmin-SPW)
CBA000120471,Geographic Term,Delete (RecordStatusExplanation ),,,,,,,,,,,,0,,"RecordStatus field update to ""DELETE"" on 6/5/2015 11:14:40 PM"" by spw as part of the following update work: .

This record was changed as part of bulk change #4120. ""CBA Status"" was changed from ""None"" to ""Duplicate"" by StephenPWeldon on 12/31/20 06:09:19 PM UTC.

This record was changed as part of bulk change #8104. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 05/18/24 03:54:25 PM UTC.

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 20:56:25.286031+00:00,,  (IsisAdmin-SPW)
CBA000120345,Geographic Term,Delete (RecordStatusExplanation ),,,,,,,,,,,,1,,"RecordStatus field update to ""DELETE"" on 6/5/2015 11:14:40 PM"" by spw as part of the following update work: .

This record was changed as part of bulk change #4120. ""CBA Status"" was changed from ""None"" to ""Duplicate"" by StephenPWeldon on 12/31/20 06:09:19 PM UTC.

This record was changed as part of bulk change #8104. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 05/18/24 03:54:25 PM UTC.

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 20:56:24.067990+00:00,,  (IsisAdmin-SPW)
CBA865184631,Person,Active (RecordStatusExplanation Active by default.),,,,Weldon Classification System (2002-present),,EMILIANO TRIZIO,,,Emiliano Trizio,,,1,,"Created from Zotero accession 740, performed at 2017-09-24 20:00:40.491076+00:00 by gamerobscura. Subsequently ingested by gamerobscura.

This record was changed as part of bulk change #5414. ""CBA Name"" was changed from ""Emiliano Trizio"" to """" by StephenPWeldon on 10/07/21 08:38:37 PM UTC.",2017-09-24 20:09:49.367925+00:00,2023-12-28 00:55:03.632433+00:00,,Stephen Weldon (StephenPWeldon)
CBA465846620,Person,Active (RecordStatusExplanation Active by default.),,,,Weldon Classification System (2002-present),,María Paz,,,María Paz,,,1,,"Created from Zotero accession 739, performed at 2017-09-24 19:23:31.272709+00:00 by gamerobscura. Subsequently ingested by gamerobscura.

This record was changed as part of bulk change #5414. ""CBA Name"" was changed from ""María Paz"" to """" by StephenPWeldon on 10/07/21 08:38:37 PM UTC.",2017-09-24 19:37:11.595880+00:00,2023-12-28 00:54:48.847511+00:00,,Stephen Weldon (StephenPWeldon)
CBA066169018,Person,Active (RecordStatusExplanation Active by default.),,,,Weldon Classification System (2002-present),,Daniel J. Sargent,,,Daniel J. Sargent,,,2,,"Created from Zotero accession 502, performed at 2017-06-08 14:46:51.490011+00:00 by gamerobscura. Subsequently ingested by gamerobscura.

This record was changed as part of bulk change #5414. ""CBA Name"" was changed from ""Daniel J. Sargent"" to """" by StephenPWeldon on 10/07/21 08:38:37 PM UTC.",2017-06-08 14:52:55.650703+00:00,2023-12-28 00:25:23.158783+00:00,,Stephen Weldon (StephenPWeldon)
CBA000144339,Person,Delete (RecordStatusExplanation ),,-----,,Proper name,,,,,,,,0,,"Record marked as Active by acr_cleaup.pl on June 27, 2016. Imported from Filemaker conversion table on May 27, 2016.  Created during the 2015 conversion conversion

This record was changed as part of bulk change #4120. ""CBA Status"" was changed from ""Duplicate"" to ""Duplicate"" by StephenPWeldon on 12/31/20 06:09:19 PM UTC.

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 20:56:26.489993+00:00,,  (IsisAdmin-SPW)
CBA000113700,Time Period,Active (RecordStatusExplanation ),,10th century,Term used during the period 2002-present,Weldon Thesaurus Terms (2002-present),,,,,,,,176,,"Record marked as Active by acr_cleaup.pl on June 27, 2016. Imported from Filemaker conversion table on May 27, 2016.  Created during the 2015 conversion conversion

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 20:56:27.122639+00:00,,  (IsisAdmin-SPW)
