Record ID,Title,Author,Record Type,Editor,Year of publication,Subjects,CategoryNumbers,Language,Place Publisher,Record Action,Record Nature,SPW checked,Published Print,Journal Link,Staff Notes,Dataset
CBB262293571,Love Is a Problem of Knowledge,"ACR_ID ACR637756327 || ACRStatus Active || ACRType Author || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation Dan Bouk || AuthorityID CBA000011474 || AuthorityStatus Active || AuthorityType Person || AuthorityName Bouk, Daniel B.",Article,,2021.0,ACR_ID ACR643831746 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000116411 || AuthorityStatus Active || AuthorityType Time Period || AuthorityName Modern // ACR_ID ACR006820015 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000116621 || AuthorityStatus Active || AuthorityType Time Period || AuthorityName Early modern // ACR_ID ACR199472887 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000116562 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Science and society // ACR_ID ACR982430845 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000114462 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Phrenology // ACR_ID ACR537319357 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000114356 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Astrology // ACR_ID ACR182002010 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000116723 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Algorithms // ACR_ID ACR429182205 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA396789132 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Mobile applications // ACR_ID ACR328939536 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA184163645 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Online social networks // ACR_ID ACR665046683 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA500653615 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Dating; romantic relationships // ACR_ID ACR927219223 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000165096 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Love,"ACR_ID ACR823052294 || ACRStatus Active || ACRType Category || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000130291 || AuthorityStatus Active || AuthorityType Category Division || AuthorityName Science and society, general works || ClassificationCode 20",English,,,Active (RecordStatusExplanation Inactive by default),TRK934413439: 2022-10-24 00:26:43.691784+00:00,TRK307186180: 2022-12-13 23:46:37.253943+00:00,AuthorityName Isis: International Review Devoted to the History of Science and Its Cultural Influences || AuthorityID CBA000122847 || AuthorityType Serial Publication || Abbreviation Isis || ISSN 0021-1753,,"Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"
CBB550080731,"The Triumph of Theriac: Print, Apothecary Publications, and the Commodification of Ancient Antidotes (1497–1800)","ACR_ID ACR947154946 || ACRStatus Active || ACRType Author || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation Barbara Di Gennaro Splendore || AuthorityID CBA842989459 || AuthorityStatus Active || AuthorityType Person || AuthorityName Di Gennaro Splendore, Barbara",Article,,2021.0,ACR_ID ACR639147622 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA691353126 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Commodification // ACR_ID ACR397995873 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000114461 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Pharmacy // ACR_ID ACR587643361 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA438815543 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Knowledge circulation // ACR_ID ACR856259394 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000114257 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Popularization // ACR_ID ACR046388570 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000120315 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Apothecaries // ACR_ID ACR065734296 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000114056 || AuthorityStatus Active || AuthorityType Time Period || AuthorityName Renaissance // ACR_ID ACR353419919 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000116621 || AuthorityStatus Active || AuthorityType Time Period || AuthorityName Early modern // ACR_ID ACR787248891 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000114260 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Printing // ACR_ID ACR533137513 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000120319 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Antidotes // ACR_ID ACR108642674 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000120483 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Theriaca,"ACR_ID ACR170198817 || ACRStatus Active || ACRType Category || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000131098 || AuthorityStatus Active || AuthorityType Category Division || AuthorityName Medicine, general works -- Renaissance Western European contexts || ClassificationCode 150-330",English,,,Active (RecordStatusExplanation Inactive by default),,,AuthorityName Nuncius: Annali di Storia della Scienza || AuthorityID CBA000123725 || AuthorityType Serial Publication || Abbreviation Nuncius || ISSN 1825-3911,,"Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"
CBB317984823,Galileo’s Two New Sciences as a Model of Reading Practice,"ACR_ID ACR473726515 || ACRStatus Active || ACRType Author || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation Renée Raphael || AuthorityID CBA000083328 || AuthorityStatus Active || AuthorityType Person || AuthorityName Raphael, Renée J.",Article,,2016.0,"ACR_ID ACR756924468 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA274165882 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Rhetorical analysis // ACR_ID ACR705458664 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000114336 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Rhetoric in scientific discourse // ACR_ID ACR683100401 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000114195 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Diagrams // ACR_ID ACR872849793 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000116653 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Reading // ACR_ID ACR804577236 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000114072 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Mathematics and its relationship to science // ACR_ID ACR844084867 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000035036 || AuthorityStatus Active || AuthorityType Person || AuthorityName Galilei, Galileo // ACR_ID ACR447209461 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000113707 || AuthorityStatus Active || AuthorityType Time Period || AuthorityName 17th century",ACR_ID ACR500594169 || ACRStatus Active || ACRType Category || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000131115 || AuthorityStatus Active || AuthorityType Category Division || AuthorityName Rhetorical and visual analysis of science -- 17th century || ClassificationCode 12-340,,,,Active (RecordStatusExplanation Inactive by default),TRK024241399: 2022-10-24 00:26:02.150411+00:00,TRK273784946: 2022-12-13 23:47:41.942320+00:00,AuthorityName Journal of the History of Ideas || AuthorityID CBA000123199 || AuthorityType Serial Publication || Abbreviation J. Hist. Ideas || ISSN 1086-3222,,"Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"
CBB123318800,Frontier of Professionals:The Vision of American Advisors That Supported Hokkaido Development in the Early Meiji Period,ACR_ID ACR352169526 || ACRStatus Active || ACRType Author || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation Tomomi Nakagawa || AuthorityID CBA521334902 || AuthorityStatus Active || AuthorityType Person || AuthorityName Tomomi Nakagawa,Article,,2018.0,"ACR_ID ACR739516708 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000116562 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Science and society // ACR_ID ACR969447929 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000117907 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Developing countries // ACR_ID ACR055387609 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000114552 || AuthorityStatus Active || AuthorityType Geographic Term || AuthorityName United States // ACR_ID ACR911475480 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000114331 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Professions and professionalization // ACR_ID ACR147602029 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000117820 || AuthorityStatus Active || AuthorityType Time Period || AuthorityName Meiji period (Japan, 1868-1910) // ACR_ID ACR810602958 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA169321921 || AuthorityStatus Active || AuthorityType Geographic Term || AuthorityName Hokkaido (Japan)","ACR_ID ACR889300888 || ACRStatus Active || ACRType Category || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000131234 || AuthorityStatus Active || AuthorityType Category Division || AuthorityName Science and society, general works -- 19th century || ClassificationCode 20-360",English,,,Active (RecordStatusExplanation ),,,AuthorityName Historia Scientiarum: International Journal of the History of Science Society of Japan || AuthorityID CBA000122606 || AuthorityType Serial Publication || Abbreviation Hist. Scientiarum,,"Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"
CBB234311668,Defects in Doubt Manufacturing: The Trajectory of a Pro-industrial Argument in the Struggle for the Definition of Carcinogenic Substances,ACR_ID ACR751085723 || ACRStatus Active || ACRType Author || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation Valentin Thomas || AuthorityID CBA836218907 || AuthorityStatus Active || AuthorityType Person || AuthorityName Valentin Thomas,Article,,2021.0,ACR_ID ACR107701422 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation Peroxisomes || AuthorityID CBA280521665 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Peroxisomes // ACR_ID ACR432750495 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation Carcinogens || AuthorityID CBA000120020 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Carcinogens // ACR_ID ACR102568155 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation Technoscience; science and technology studies || AuthorityID CBA000121067 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Science and technology studies (STS) // ACR_ID ACR942422700 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation International Agency for Research on Cancer || AuthorityID CBA970804743 || AuthorityStatus Active || AuthorityType Institution || AuthorityName International Agency for Research on Cancer // ACR_ID ACR627697638 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation 21st Century || AuthorityID CBA000113713 || AuthorityStatus Active || AuthorityType Time Period || AuthorityName 21st century // ACR_ID ACR749669373 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation Chemical Industry || AuthorityID CBA000114370 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Chemical industry // ACR_ID ACR970845960 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation Regulation || AuthorityID CBA030086529 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Regulation // ACR_ID ACR164085242 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation Science and industry || AuthorityID CBA000116356 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Science and industry,"ACR_ID ACR226953640 || ACRStatus Active || ACRType Category || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000131413 || AuthorityStatus Active || AuthorityType Category Division || AuthorityName Science and society: politics, law, and economics -- 21st century || ClassificationCode 22-380",English,,,Active (RecordStatusExplanation Inactive by default),TRK145376862: 2022-11-23 02:42:08.093343+00:00,TRK217829709: 2022-12-13 23:43:58.892700+00:00,"AuthorityName Science, Technology, and Human Values || AuthorityID CBA000124334 || AuthorityType Serial Publication || Abbreviation Sci. Tech. Hum. Val. || ISSN 0162-2439",,"Technology & Culture Bibliography (Bruce Seely, ed.)"
CBB704973598,"Economizing Socialist Aid: China's Failed Surgical Plant in Algeria, 1973–80","ACR_ID ACR671219616 || ACRStatus Active || ACRType Author || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation Dongxin Zou || AuthorityID CBA935600550 || AuthorityStatus Active || AuthorityType Person || AuthorityName Zou, Dongxin",Article,,2022.0,"ACR_ID ACR971855581 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation Technology transfer || AuthorityID CBA000116453 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Technology transfer // ACR_ID ACR766170514 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation Instruments, Surgical {T&C subj.} || AuthorityID CBA000127609 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Instruments, Surgical // ACR_ID ACR987745866 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation international development || AuthorityID CBA610348463 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Economic development, international cooperation // ACR_ID ACR763482054 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation Algeria || AuthorityID CBA000113724 || AuthorityStatus Active || AuthorityType Geographic Term || AuthorityName Algeria // ACR_ID ACR205851280 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation Appropriate technology || AuthorityID CBA000129957 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Intermediate or appropriate technology // ACR_ID ACR459266888 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation 20th Century || AuthorityID CBA000113710 || AuthorityStatus Active || AuthorityType Time Period || AuthorityName 20th century // ACR_ID ACR288563602 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation China || AuthorityID CBA000114509 || AuthorityStatus Active || AuthorityType Geographic Term || AuthorityName China","ACR_ID ACR225152417 || ACRStatus Active || ACRType Category || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000130807 || AuthorityStatus Active || AuthorityType Category Division || AuthorityName Technology, general works -- African, Australian, and traditional cultural contexts || ClassificationCode 160-270",English,,,Active (RecordStatusExplanation Inactive by default),TRK539223920: 2022-11-29 02:10:18.268465+00:00,TRK423329739: 2022-12-13 23:43:59.326032+00:00,AuthorityName Technology and Culture || AuthorityID CBA000124621 || AuthorityType Serial Publication || Abbreviation Tech. & Cult. || ISSN 1097-3729,,"Technology & Culture Bibliography (Bruce Seely, ed.)"
CBB176284257,David Gregory's manuscript ‘Isaaci Neutoni Methodus fluxionum’ (1694): A study on the early publication of Newton's discoveries on calculus,"ACR_ID ACR891828515 || ACRStatus Active || ACRType Author || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation Niccolò Guicciardini || AuthorityID CBA000040824 || AuthorityStatus Active || AuthorityType Person || AuthorityName Guicciardini, Niccolò",Article,,2021.0,"ACR_ID ACR269934143 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000113810 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Cross-national interaction // ACR_ID ACR450921121 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000117699 || AuthorityStatus Active || AuthorityType Geographic Term || AuthorityName England // ACR_ID ACR311231855 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000116371 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Scientific communities; interprofessional relations // ACR_ID ACR522230062 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000114366 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Calculus // ACR_ID ACR603423263 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000073903 || AuthorityStatus Active || AuthorityType Person || AuthorityName Newton, Isaac // ACR_ID ACR658992444 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000113707 || AuthorityStatus Active || AuthorityType Time Period || AuthorityName 17th century // ACR_ID ACR360395889 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000039872 || AuthorityStatus Active || AuthorityType Person || AuthorityName Gregory, David",ACR_ID ACR040316322 || ACRStatus Active || ACRType Category || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000131130 || AuthorityStatus Active || AuthorityType Category Division || AuthorityName Mathematics -- 17th century || ClassificationCode 103-340,English,,,Active (RecordStatusExplanation Inactive by default),,,AuthorityName Notes and Records: The Royal Society Journal of the History of Science || AuthorityID CBA000123713 || AuthorityType Serial Publication || Abbreviation Notes Rec. Roy. Soc. Lond.,,"Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"
CBB021562249,The <i>Lotus Sutra</i> and Evolution: Hayata Bunzō's Theory of Life,ACR_ID ACR956341317 || ACRStatus Active || ACRType Author || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation Gyo Nakao || AuthorityID CBA390082097 || AuthorityStatus Active || AuthorityType Person || AuthorityName Gyo Nakao,Article,,2021.0,"ACR_ID ACR499286001 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000113711 || AuthorityStatus Active || AuthorityType Time Period || AuthorityName 20th century, early // ACR_ID ACR369496808 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000114525 || AuthorityStatus Active || AuthorityType Geographic Term || AuthorityName Japan // ACR_ID ACR183312699 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000163036 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Botany // ACR_ID ACR557311398 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000114079 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Science and religion // ACR_ID ACR568921430 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000116597 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Buddhism // ACR_ID ACR062619011 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000114392 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Evolution",ACR_ID ACR928893425 || ACRStatus Active || ACRType Category || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000130532 || AuthorityStatus Active || AuthorityType Category Division || AuthorityName Science and religion -- Asian cultural contexts || ClassificationCode 28-230,English,,,Active (RecordStatusExplanation ),,,AuthorityName Historia Scientiarum: International Journal of the History of Science Society of Japan || AuthorityID CBA000122606 || AuthorityType Serial Publication || Abbreviation Hist. Scientiarum,,"Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"
CBB258494624,Change in the graphics of journal articles in the life sciences field: Analysis of figures and tables in the journal “Cell”,"ACR_ID ACR370461442 || ACRStatus Active || ACRType Author || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation Kana Ariga || AuthorityID CBA538212787 || AuthorityStatus Active || AuthorityType Person || AuthorityName Ariga, Kana // ACR_ID ACR467420293 || ACRStatus Active || ACRType Author || ACRDisplayOrder 2.0 || ACRNameForDisplayInCitation Manabu Tashiro || AuthorityID CBA271613138 || AuthorityStatus Active || AuthorityType Person || AuthorityName Tashiro, Manabu",Article,,2022.0,"ACR_ID ACR781131567 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA447266678 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Life sciences // ACR_ID ACR735332292 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000113713 || AuthorityStatus Active || AuthorityType Time Period || AuthorityName 21st century // ACR_ID ACR339335724 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000113712 || AuthorityStatus Active || AuthorityType Time Period || AuthorityName 20th century, late // ACR_ID ACR820620853 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA450882499 || AuthorityStatus Active || AuthorityType Serial Publication || AuthorityName Cell // ACR_ID ACR988219881 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000114178 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Visual representation; visual communication // ACR_ID ACR351329003 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000117461 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Scientific illustration // ACR_ID ACR697537960 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA142118588 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Scholarly journals","ACR_ID ACR647043913 || ACRStatus Active || ACRType Category || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000131351 || AuthorityStatus Active || AuthorityType Category Division || AuthorityName Rhetorical and visual analysis of science -- 20th century, late, and 21st century || ClassificationCode 12-375",English,,,Active (RecordStatusExplanation Inactive by default),,,AuthorityName History and Philosophy of the Life Sciences || AuthorityID CBA000122637 || AuthorityType Serial Publication || Abbreviation Hist. Phil. Life Sci. || ISSN 0391-9714,,"Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"
CBB139095210,Technology and Subaltern Knowledge at the Catalan Olive Oil Museum,"ACR_ID ACR221114028 || ACRStatus Active || ACRType Author || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation Ximo Guillem-Llobat || AuthorityID CBA000040895 || AuthorityStatus Active || AuthorityType Person || AuthorityName Guillem-Llobat, Ximo",Article,,2023.0,ACR_ID ACR066169977 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000121177 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Public understanding of technology // ACR_ID ACR621463820 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000117513 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Technology and culture // ACR_ID ACR846802562 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000116430 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Food science; food technology // ACR_ID ACR354872320 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000117223 || AuthorityStatus Active || AuthorityType Geographic Term || AuthorityName Catalonia (Spain) // ACR_ID ACR265958992 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000116963 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Museums // ACR_ID ACR836140916 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000117465 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Vegetable oils // ACR_ID ACR841426373 || ACRStatus Active || ACRType Subject || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA777218014 || AuthorityStatus Active || AuthorityType Concept || AuthorityName Subaltern studies,ACR_ID ACR899338204 || ACRStatus Active || ACRType Category || ACRDisplayOrder 1.0 || ACRNameForDisplayInCitation  || AuthorityID CBA000130338 || AuthorityStatus Active || AuthorityType Category Division || AuthorityName Agriculture || ClassificationCode 163,English,,,Active (RecordStatusExplanation Inactive by default),TRK129318970: 2023-12-20 18:48:16.188261+00:00,,AuthorityName Technology and Culture || AuthorityID CBA000124621 || AuthorityType Serial Publication || Abbreviation Tech. & Cult. || ISSN 1097-3729,,"Technology & Culture Bibliography (Bruce Seely, ed.)"
